1000 10000
720 875 82
527 529 28
245 261 46
380 132 38
525 428 34
265 613 98
10 732 31
669 360 93
467 712 68
720 756 41
723 740 43
336 878 75
658 460 41
293 980 44
907 626 6
796 315 51
972 739 22
208 418 17
889 307 81
340 349 70
297 437 84
843 331 46
295 988 69
456 792 25
706 197 71
590 356 94
286 410 4
698 306 48
17 440 21
652 609 32
511 26 82
241 270 40
191 308 4
436 776 92
347 481 24
984 643 71
820 70 74
655 518 7
315 628 36
175 293 70
601 978 39
120 720 2
856 168 10
975 553 53
56 837 23
830 666 89
283 666 47
553 469 94
233 93 90
915 58 100
717 31 61
719 133 14
198 238 78
119 957 9
879 692 96
944 774 9
735 758 97
668 264 70
722 383 70
999 470 52
838 450 45
435 895 72
455 779 90
581 784 53
107 294 26
197 336 40
246 750 59
337 555 49
152 168 24
730 48 64
714 373 98
501 603 77
773 932 43
516 948 87
322 109 78
755 446 60
971 999 5
924 121 80
945 980 50
483 240 10
204 423 39
682 299 95
799 885 71
246 30 86
248 537 14
904 344 64
860 246 4
270 229 58
529 201 35
719 189 62
178 484 44
74 795 38
519 53 35
600 318 1
755 37 48
109 243 40
996 681 10
923 250 62
318 764 31
239 61 76
208 571 78
906 476 22
45 199 28
985 483 52
205 191 8
558 714 50
962 796 28
708 444 33
859 563 17
687 80 3
268 798 90
618 283 3
107 579 66
623 645 23
205 99 57
723 464 91
135 181 87
615 996 65
846 577 69
768 813 44
80 373 82
391 171 91
496 179 4
490 937 9
54 97 17
793 150 39
20 32 66
858 536 39
546 549 51
334 20 77
171 987 84
490 279 20
750 127 65
831 72 69
686 802 40
122 51 65
354 835 94
196 288 10
918 923 2
403 970 10
480 839 85
839 121 12
860 585 15
758 256 8
936 639 29
457 367 4
312 371 97
948 90 34
620 17 89
666 721 31
909 452 72
935 414 35
844 586 99
100 714 46
283 931 97
279 552 32
433 894 88
432 432 6
90 459 57
629 853 19
517 746 44
310 455 4
877 883 30
122 634 21
1 148 50
689 110 93
475 415 44
479 733 86
748 712 33
80 712 23
263 723 49
870 146 92
290 444 7
260 211 93
560 38 1
167 814 99
914 453 93
831 739 58
729 931 69
187 30 17
693 127 20
242 23 17
193 33 23
107 688 3
580 687 48
262 394 45
146 204 67
241 528 49
114 59 76
932 434 90
574 552 34
452 547 21
133 120 19
804 59 65
580 916 81
167 15 47
416 250 91
895 628 47
22 732 54
858 647 85
76 903 17
624 256 73
373 660 45
142 394 51
49 691 10
902 925 68
746 387 96
181 845 43
32 99 18
395 568 73
294 245 19
6 707 46
43 357 3
992 942 77
538 319 35
316 59 84
514 294 59
293 179 77
463 461 93
407 289 26
855 674 9
476 429 11
78 774 7
897 578 43
618 519 71
694 105 46
352 550 17
193 844 2
757 745 17
99 899 17
933 986 13
522 987 100
328 486 78
245 426 16
88 431 71
20 372 23
445 194 89
645 769 55
489 98 76
64 4 12
748 427 68
100 358 1
616 775 93
439 777 55
430 789 72
98 517 30
784 773 52
594 647 50
101 718 26
377 645 95
305 936 53
811 955 37
114 586 83
482 689 21
979 589 57
226 298 26
196 487 59
933 631 69
569 249 82
232 242 58
247 17 61
252 196 24
818 873 100
38 639 1
497 78 8
128 796 71
16 266 69
534 734 80
238 34 74
441 781 44
933 633 89
616 949 10
820 515 71
594 380 30
72 219 69
284 128 81
78 270 54
977 486 64
75 93 54
742 876 69
333 807 11
162 528 85
279 324 94
20 718 17
881 107 94
596 254 76
349 461 61
8 132 38
859 408 49
169 678 85
838 245 88
84 634 82
877 610 13
770 557 56
515 625 29
208 493 90
808 759 39
687 104 92
765 630 20
253 602 58
420 292 59
171 467 53
149 689 78
869 335 72
706 981 56
60 444 80
732 808 25
575 416 65
980 647 77
278 424 30
483 510 53
558 402 13
202 408 76
832 636 100
763 89 59
66 698 69
381 621 70
4 396 28
333 86 97
276 734 52
831 362 36
819 751 49
1 234 47
781 674 48
105 140 38
533 487 98
402 938 11
295 203 73
483 610 63
572 388 34
944 988 36
209 167 62
678 814 42
553 634 4
515 267 89
390 817 4
396 135 17
148 285 39
742 5 7
111 296 73
590 234 37
183 67 86
616 719 61
75 113 86
932 603 50
35 241 97
363 463 62
748 551 31
607 440 39
121 387 65
233 464 79
60 993 70
105 429 11
65 888 83
433 448 71
123 251 59
154 688 96
261 795 72
317 45 89
866 195 52
515 477 43
965 690 49
159 34 29
435 548 26
542 450 81
468 785 15
638 293 69
213 285 41
116 827 83
273 711 59
172 276 93
691 426 11
901 646 93
877 223 83
850 722 22
325 665 56
514 239 62
723 615 94
153 141 14
100 701 74
781 412 65
130 36 7
962 523 17
930 565 61
903 457 8
324 362 37
206 583 40
142 789 83
783 100 52
66 983 63
638 408 45
955 587 65
361 209 9
284 512 57
19 769 44
497 171 55
699 278 74
332 962 75
358 769 94
369 394 55
857 135 82
618 994 96
399 83 97
349 693 81
905 194 79
241 396 8
257 446 84
876 946 63
406 396 6
776 30 44
276 589 27
921 36 33
129 616 8
913 77 74
592 263 24
148 874 97
450 526 86
244 445 1
464 103 30
638 409 92
218 457 32
667 93 27
435 492 21
361 572 82
547 886 56
943 664 45
364 121 59
660 690 21
677 379 15
329 436 37
282 621 12
426 799 81
74 677 78
601 405 34
264 124 61
883 521 88
826 264 86
225 626 15
981 354 56
760 148 75
599 153 12
146 526 68
571 38 80
11 444 14
873 902 64
420 551 86
732 612 13
515 41 83
738 252 40
9 178 61
47 240 89
411 533 90
682 607 65
946 395 16
854 993 67
347 503 73
762 588 44
360 880 35
570 91 19
725 227 92
396 370 2
875 246 55
788 851 99
648 390 25
529 531 99
637 218 62
141 397 67
95 798 69
121 398 78
479 953 59
862 448 52
10 622 96
317 128 74
481 375 88
648 952 51
402 350 52
775 117 61
301 498 31
988 570 94
600 488 53
223 179 68
36 831 3
795 458 61
493 818 13
398 398 48
86 930 19
965 911 58
251 338 8
231 164 5
717 970 14
709 373 4
490 972 72
384 329 93
386 898 15
715 385 35
835 358 90
444 11 74
142 472 34
871 600 57
15 179 94
316 214 83
185 880 92
740 423 49
192 330 30
320 400 89
197 849 21
346 27 87
125 408 18
289 573 95
970 422 28
969 833 12
665 872 44
433 691 29
739 445 50
84 453 90
684 153 65
592 142 7
503 203 54
146 174 5
336 431 93
480 460 31
896 204 34
925 432 27
756 815 33
865 337 86
278 431 71
903 224 99
787 55 44
45 499 97
531 439 35
63 195 12
677 322 33
100 791 28
992 681 33
991 974 59
339 623 81
295 816 18
710 220 24
272 726 32
750 507 82
408 654 62
613 131 99
283 864 16
280 313 96
288 868 86
303 524 85
521 689 24
16 192 50
23 455 39
381 252 42
235 15 58
169 204 62
198 557 86
615 624 15
58 733 30
555 643 44
63 475 76
967 116 45
727 833 69
304 672 26
554 309 29
222 390 53
323 416 45
879 882 88
465 976 79
317 163 72
223 103 30
483 925 53
4 690 23
204 528 15
804 51 29
540 535 83
357 904 90
645 129 63
771 129 80
707 3 78
316 22 69
608 109 66
180 167 7
57 360 3
147 649 73
600 351 3
610 664 23
16 83 53
146 303 98
988 964 13
717 738 26
688 111 43
202 357 90
869 995 55
797 138 56
418 99 74
965 287 2
398 599 8
493 189 98
191 979 32
403 851 95
110 830 28
508 737 38
424 124 14
670 637 66
95 813 15
548 929 28
63 684 88
358 939 7
481 457 40
807 859 53
516 831 92
741 769 5
607 470 43
204 813 51
71 10 98
955 108 3
111 538 25
109 50 18
676 418 36
778 547 63
733 802 79
740 912 95
185 645 31
506 64 58
168 338 23
952 141 8
929 223 23
500 515 8
707 873 88
947 516 85
875 805 70
906 30 72
252 722 20
990 875 95
194 644 4
517 737 9
31 579 45
578 592 72
119 74 3
405 838 9
771 385 86
1000 750 12
969 683 43
19 957 57
714 880 6
201 860 68
627 100 2
441 377 26
564 318 61
110 173 18
716 403 17
319 599 41
732 872 35
736 488 50
847 131 48
735 445 42
513 419 67
568 536 69
868 467 45
385 607 12
564 948 45
294 92 52
733 248 68
663 59 6
696 111 38
509 215 81
361 141 91
769 837 14
196 98 91
269 504 73
971 129 30
488 451 24
465 186 85
190 266 35
403 984 36
142 898 19
578 147 5
243 772 70
987 751 87
292 70 2
142 500 65
683 961 34
402 924 62
529 308 96
167 984 68
849 160 33
707 227 30
577 578 4
86 509 77
484 556 83
37 489 8
379 109 40
155 631 35
375 380 9
563 963 31
432 553 56
88 269 1
673 220 8
958 735 47
186 19 75
6 178 6
228 128 42
421 969 75
65 857 48
213 900 93
218 639 68
315 622 5
102 440 54
383 8 98
938 13 69
720 620 89
35 268 28
261 586 90
206 414 48
533 638 13
633 290 56
456 408 98
383 161 25
331 819 13
560 544 6
536 415 71
310 898 30
467 408 83
169 403 89
895 196 42
796 614 2
399 840 32
438 359 88
77 236 60
90 353 21
15 850 8
455 362 57
877 555 47
65 162 25
36 786 73
358 672 9
430 31 62
226 565 57
39 253 55
355 199 57
545 269 68
430 47 77
858 361 80
128 819 98
569 617 56
517 229 71
908 202 36
853 858 17
13 650 45
714 187 70
752 565 1
372 192 10
815 875 71
885 24 21
726 415 76
285 571 87
199 914 22
934 256 45
39 534 37
673 559 29
384 516 73
600 848 30
333 142 78
106 482 53
225 805 64
387 605 69
80 468 95
129 440 72
531 387 80
55 276 79
841 534 90
661 719 90
713 435 38
791 338 6
201 863 28
794 571 41
18 866 19
762 636 46
561 502 37
414 858 38
23 516 29
218 703 81
2 888 67
541 368 10
803 928 95
353 936 70
78 632 22
413 691 62
485 57 95
862 4 80
517 469 88
593 231 75
119 916 23
579 400 84
712 499 61
826 458 25
234 664 78
265 153 18
352 903 79
600 545 27
702 472 67
545 236 15
519 351 47
244 384 16
837 314 94
628 582 68
781 319 5
24 836 54
488 603 64
243 332 55
291 964 18
541 139 85
367 512 37
967 939 36
882 675 77
987 153 36
684 381 64
785 560 20
91 714 25
547 844 78
168 664 81
954 320 21
400 765 51
959 993 86
235 710 34
867 472 91
952 345 93
375 372 3
552 940 78
845 501 15
654 747 60
996 299 39
589 94 43
73 141 75
874 129 96
561 506 62
566 411 22
551 779 75
166 79 47
812 462 63
162 870 45
106 781 40
897 474 85
992 781 17
763 676 91
338 360 48
422 816 4
238 396 51
642 972 35
791 362 51
797 84 20
677 647 96
432 241 1
52 438 46
719 614 31
225 156 25
149 401 89
72 298 99
317 800 78
977 71 81
595 137 82
965 651 10
785 424 41
542 549 4
378 990 28
477 223 4
939 756 74
370 933 90
316 996 12
935 625 71
852 336 26
613 65 97
226 937 15
189 215 83
181 922 72
224 864 98
325 50 42
169 663 61
191 733 84
517 175 14
557 740 58
746 572 75
996 632 81
29 178 10
156 595 73
298 820 1
508 135 33
616 567 54
275 29 46
802 573 20
608 56 20
87 634 89
314 295 11
235 298 78
9 822 96
460 377 82
484 198 10
366 178 51
512 888 85
128 513 31
504 110 15
852 584 4
175 979 9
186 957 21
327 77 94
102 330 27
406 498 53
230 5 56
771 368 46
837 78 87
222 84 21
282 340 23
381 724 55
490 655 36
952 13 43
826 519 49
294 230 86
997 164 64
565 986 59
892 844 36
30 866 56
665 528 98
391 465 55
467 679 21
823 686 54
262 674 98
894 830 92
512 398 37
322 527 9
116 5 22
395 182 66
595 326 44
80 25 18
446 888 50
167 894 70
989 986 93
881 563 38
451 359 83
371 324 95
232 514 19
983 208 23
182 70 39
545 755 19
292 737 72
530 198 44
630 76 82
1 883 10
59 516 77
261 185 60
294 700 81
924 822 47
277 529 99
63 952 38
269 861 45
699 987 55
340 517 6
841 582 61
653 707 84
239 870 100
152 692 29
310 713 45
568 634 34
618 524 19
227 219 59
157 782 75
21 465 57
860 506 44
245 233 78
72 433 100
78 996 33
878 54 69
223 8 51
143 304 25
812 103 95
961 636 82
3 447 91
653 432 15
776 297 88
407 129 85
954 251 54
704 502 47
27 894 62
151 299 99
228 240 71
324 559 82
454 803 41
564 974 56
930 996 73
248 23 21
250 396 47
310 599 26
374 571 22
862 564 6
560 296 64
214 339 17
248 274 39
455 651 40
489 315 1
822 704 35
714 312 36
316 729 98
357 474 19
726 345 81
660 567 44
669 466 7
103 874 100
270 150 79
407 551 6
932 700 86
535 16 68
969 177 6
501 570 76
809 916 3
37 208 89
280 73 20
503 824 47
462 959 7
596 817 31
786 618 94
461 963 16
996 281 55
660 439 99
674 137 37
400 419 76
164 584 44
469 455 90
752 515 28
418 338 43
854 137 35
922 902 62
549 142 79
851 536 64
260 953 21
898 257 23
714 854 65
301 272 62
975 196 23
127 613 34
505 952 80
496 895 47
16 41 79
747 231 1
489 914 76
158 323 72
991 3 48
469 108 4
341 31 15
327 360 25
894 192 100
303 601 93
397 39 41
692 500 33
733 628 49
258 67 51
363 676 72
455 547 87
95 813 47
903 575 57
262 476 57
193 491 37
539 48 10
927 922 84
377 477 16
650 521 88
858 378 89
771 41 88
108 235 59
603 969 1
247 304 92
492 553 42
464 700 90
726 560 44
857 726 80
787 871 99
998 227 31
915 588 36
666 498 34
393 289 21
136 599 18
156 930 64
34 529 15
647 386 72
966 660 1
313 686 50
875 104 56
886 976 49
408 336 33
300 37 51
606 524 67
703 120 46
778 343 74
565 581 80
924 657 87
114 839 15
338 366 46
334 579 73
989 813 22
122 58 25
475 146 1
559 507 21
363 524 34
343 623 34
180 512 13
89 163 91
335 797 43
497 937 6
296 542 11
766 215 65
249 443 17
187 750 18
695 664 3
750 380 60
835 244 39
772 635 80
755 371 42
851 137 65
838 213 65
150 630 72
379 541 58
621 504 96
115 755 28
475 554 67
866 770 16
758 688 67
426 466 21
90 885 31
232 463 9
126 326 80
837 992 41
789 773 16
846 705 93
391 966 86
277 666 5
982 53 23
222 582 85
809 782 50
402 757 22
252 355 2
415 514 15
934 282 19
158 645 81
689 189 73
588 882 36
333 560 9
178 608 24
750 814 97
333 595 36
994 932 36
806 763 94
892 260 32
307 179 53
180 28 18
268 11 46
596 341 66
791 182 20
764 660 96
229 284 31
463 756 12
323 889 73
788 74 3
586 492 32
382 648 3
255 106 73
92 427 56
403 1000 57
554 308 89
852 28 42
646 730 83
706 645 2
124 127 99
923 30 85
642 639 62
808 840 50
508 300 32
845 141 22
362 781 38
477 661 25
725 618 67
732 452 87
734 153 28
427 258 32
255 332 40
224 906 17
199 457 45
19 100 45
138 945 21
122 467 56
807 345 94
981 616 71
73 684 70
179 837 41
775 439 39
884 50 16
739 148 100
268 235 79
887 504 26
391 800 77
899 852 77
639 276 56
288 392 53
663 735 40
256 947 40
84 748 88
884 364 22
382 68 8
253 85 9
500 865 34
595 426 45
685 675 96
769 46 2
984 134 63
831 415 70
653 738 32
310 541 42
698 146 57
672 871 5
247 758 8
478 598 77
889 281 93
111 823 56
99 500 27
296 365 17
600 193 87
310 501 17
147 704 45
238 737 86
919 982 45
998 510 62
423 104 19
625 918 97
615 213 64
495 78 87
457 298 54
722 280 39
466 323 96
114 539 28
298 368 75
298 238 78
119 941 6
257 809 25
683 922 24
490 28 82
657 993 4
972 261 56
596 475 12
667 119 17
992 19 75
53 350 62
135 561 93
222 996 15
126 281 71
900 942 12
765 209 21
740 799 97
850 846 78
155 340 63
558 496 75
717 111 4
239 769 77
418 293 55
917 418 2
340 200 62
813 494 36
491 637 15
736 141 98
897 591 75
333 411 44
94 546 6
203 246 8
717 993 89
968 27 44
572 8 70
421 442 28
264 563 83
784 989 78
151 77 48
976 509 29
701 530 77
908 181 42
336 741 76
101 245 51
979 602 45
399 353 59
934 14 89
396 783 71
477 914 90
497 221 86
765 573 6
767 696 27
554 270 68
27 485 77
371 701 69
287 781 82
652 163 52
31 777 41
732 150 31
684 2 58
621 110 60
253 899 6
46 931 89
281 509 25
884 276 84
846 546 82
532 641 80
781 507 30
931 578 54
395 474 57
127 174 8
441 344 36
483 237 33
13 56 61
743 662 43
559 618 70
589 882 12
973 922 27
669 423 50
640 727 99
650 174 8
573 204 15
363 510 78
725 577 51
587 911 57
85 787 19
850 583 32
950 464 79
401 272 12
70 716 51
746 463 65
950 687 24
269 535 38
258 445 81
428 540 1
179 661 79
640 89 77
552 618 25
594 787 78
713 388 17
99 75 5
291 640 77
588 400 98
407 20 51
159 938 31
571 532 38
267 656 59
695 185 70
661 67 29
417 876 44
330 713 89
450 847 60
101 580 95
110 220 1
711 1000 72
312 412 4
426 496 46
212 329 1
309 249 40
323 509 45
196 757 52
963 201 2
221 425 11
484 470 46
683 96 89
147 472 9
998 991 42
851 973 58
362 126 78
888 899 78
516 525 98
634 127 41
376 749 13
504 607 74
294 602 80
58 809 63
568 864 50
382 266 8
133 339 52
156 984 71
569 853 74
761 871 50
675 268 37
704 648 5
669 826 31
676 389 80
496 123 50
712 471 70
909 258 85
671 769 65
741 316 21
588 186 67
411 315 85
276 654 98
916 117 99
935 854 14
470 491 57
722 99 93
982 594 5
944 255 82
888 621 69
884 45 43
755 705 67
193 995 89
370 63 26
602 31 88
468 630 83
274 751 93
549 479 34
245 912 6
331 559 51
125 56 93
386 472 92
807 564 14
161 400 21
355 402 88
730 609 28
303 136 24
245 495 73
341 564 5
182 125 16
32 993 45
139 864 71
627 769 99
887 411 23
274 965 43
289 617 23
951 646 46
238 182 54
246 752 3
603 199 84
106 10 39
827 268 24
342 479 26
71 405 45
572 496 15
921 251 88
617 336 19
336 795 4
7 118 27
480 247 62
194 359 6
319 628 50
252 137 24
256 620 64
585 841 38
780 189 3
283 150 31
892 161 30
23 347 69
416 196 6
382 193 30
315 97 21
94 427 79
725 742 18
158 528 96
232 275 79
757 789 74
331 775 13
484 120 64
826 402 59
287 86 10
84 652 76
56 510 81
788 533 93
292 91 93
152 243 64
420 438 42
405 240 11
581 178 7
121 945 1
673 414 50
199 631 48
796 31 43
855 162 46
487 803 84
252 529 32
897 127 27
756 19 46
208 162 20
995 714 17
404 447 18
232 306 75
717 399 95
918 870 75
120 189 37
724 260 90
63 273 78
54 604 31
526 13 61
266 205 64
182 779 54
380 616 86
877 220 50
419 803 9
908 562 96
377 647 18
536 768 85
759 530 15
922 93 85
430 797 7
63 677 20
583 927 72
920 215 19
84 97 35
315 48 88
397 240 99
712 790 93
980 663 10
541 542 85
313 434 78
243 479 74
415 196 33
710 557 77
453 673 9
297 687 57
365 677 25
912 705 57
129 35 51
756 738 97
961 398 56
611 63 73
854 452 3
229 430 37
971 518 10
816 348 26
830 962 79
613 904 4
204 73 13
104 934 71
882 881 64
492 965 70
68 84 56
325 257 30
178 823 79
932 489 52
974 876 2
550 602 11
935 944 73
110 906 39
585 718 76
782 278 17
211 282 26
338 373 16
224 607 58
509 867 49
766 145 5
538 863 68
498 212 49
37 629 41
394 915 61
191 733 9
793 818 2
581 593 82
783 901 60
273 579 66
207 342 47
136 357 12
311 978 14
586 343 25
107 509 88
566 477 53
210 610 38
315 862 48
463 100 34
168 806 73
130 248 15
893 812 38
476 896 63
303 813 82
695 121 96
96 656 6
371 926 43
189 224 89
138 179 88
910 117 64
565 643 4
833 498 70
933 35 89
88 432 17
923 940 93
758 619 95
280 212 16
14 760 97
926 630 45
701 725 92
813 94 97
498 496 95
463 550 5
637 135 7
84 700 43
245 383 47
695 185 57
952 52 4
271 563 65
272 56 70
455 308 90
160 748 22
430 513 45
683 456 62
432 156 61
605 105 39
899 619 64
88 78 18
483 983 88
560 266 42
622 205 59
375 981 72
512 768 15
714 875 76
177 957 58
131 667 22
250 93 3
877 561 53
12 775 43
875 629 19
201 763 34
769 881 71
400 416 44
320 991 78
813 607 32
119 105 51
375 974 28
237 831 22
345 567 30
296 317 93
753 590 9
313 50 62
884 406 66
797 971 43
72 468 63
486 157 78
985 586 8
24 366 85
308 286 37
268 213 27
991 889 57
161 61 45
351 672 98
382 6 62
440 446 3
953 116 7
721 992 40
83 374 4
317 135 90
193 344 21
44 450 8
724 74 94
224 450 11
586 719 59
304 180 59
156 567 1
400 210 72
382 157 80
407 114 98
746 193 7
895 117 21
396 159 90
417 770 29
87 654 7
126 857 7
183 131 41
511 192 99
718 491 7
206 953 83
824 252 23
379 434 79
286 565 53
40 571 63
558 33 100
317 196 71
881 464 52
957 909 16
116 414 31
559 220 32
359 59 83
502 762 65
505 161 1
137 318 70
211 673 42
604 385 21
952 894 25
981 232 76
652 263 18
296 589 4
690 946 97
939 734 13
955 508 52
954 533 40
286 2 33
485 718 23
779 371 93
789 660 61
47 883 88
507 301 11
563 962 70
705 417 100
804 419 59
102 911 50
325 174 16
702 263 83
552 302 80
512 625 37
521 628 32
903 85 62
700 658 52
914 257 60
377 760 79
411 207 42
79 130 99
516 995 25
518 160 83
949 569 12
132 293 39
423 653 85
761 353 83
876 210 6
842 127 40
429 916 37
746 280 78
131 45 100
532 502 24
182 980 18
35 241 39
713 745 72
723 117 52
516 874 65
669 610 85
856 978 2
534 523 60
703 564 14
32 544 72
354 428 63
408 293 21
160 271 27
718 536 53
886 742 89
41 502 74
9 415 21
552 750 49
886 932 99
250 677 81
403 794 1
295 577 37
99 930 29
460 574 70
854 60 52
131 108 50
750 303 25
408 590 80
99 506 66
70 316 73
264 119 14
400 779 68
500 938 78
40 536 35
506 575 52
12 256 5
761 225 55
220 939 41
501 331 69
277 220 65
404 475 99
593 251 5
834 298 48
924 660 60
253 750 67
888 461 2
514 808 9
171 67 33
606 310 44
300 534 75
533 634 14
513 688 89
23 793 62
956 962 91
198 469 14
201 391 58
498 763 3
178 567 5
757 798 73
651 758 53
711 818 93
574 122 57
731 217 92
225 256 70
663 906 63
211 528 32
776 149 13
410 420 51
4 737 42
864 989 59
247 710 44
833 630 44
199 491 33
422 31 71
519 801 19
902 292 99
247 142 88
448 907 1
163 747 66
354 314 100
392 254 23
805 686 14
962 545 66
206 53 57
136 377 68
687 821 67
318 112 16
387 634 71
115 379 36
318 236 70
505 925 26
139 518 94
719 234 48
444 505 50
138 573 48
502 591 96
127 731 100
962 25 17
899 397 67
253 801 26
700 954 91
553 800 89
701 810 41
234 946 68
310 460 44
937 925 22
249 169 18
140 845 11
135 527 17
348 451 68
904 791 40
926 593 13
358 863 87
715 944 86
780 129 66
592 962 23
431 90 15
670 192 16
67 92 11
587 725 13
161 221 10
735 922 95
369 149 32
136 528 9
117 300 60
327 201 72
326 114 92
33 671 88
421 260 23
710 763 12
947 318 26
573 519 34
609 259 60
167 644 88
705 863 39
47 286 4
962 462 96
553 203 78
633 634 59
671 975 32
907 753 52
469 827 93
115 636 75
151 329 75
266 217 64
213 346 43
594 850 28
470 305 90
666 549 31
786 117 62
54 642 48
831 322 88
628 135 88
845 128 37
423 703 35
210 443 69
127 398 89
407 249 79
904 71 70
384 152 80
231 575 23
872 782 4
296 839 3
403 998 11
419 966 47
890 25 9
634 333 82
306 843 94
148 577 17
453 906 95
509 124 52
296 339 31
20 668 52
227 76 95
403 514 83
829 411 22
803 397 19
717 933 74
246 173 31
642 200 29
298 600 12
220 866 21
885 456 1
920 544 1
972 970 100
64 896 17
42 281 14
393 919 10
975 842 99
99 459 55
710 678 28
589 458 41
318 522 96
862 121 45
786 194 8
541 126 61
889 922 46
138 751 38
95 915 49
42 969 5
858 653 35
519 306 56
22 639 10
813 823 14
234 584 12
575 470 25
608 889 44
992 261 26
729 249 78
874 978 97
110 560 50
139 840 10
856 556 86
386 945 17
169 999 51
655 814 54
952 575 40
40 728 85
834 349 47
485 843 67
420 710 18
821 566 88
889 861 44
446 708 12
138 183 38
865 286 22
793 846 54
788 559 56
245 206 87
327 326 96
930 843 86
823 856 8
550 537 46
701 675 19
244 875 14
488 852 82
5 885 30
391 50 41
338 457 2
208 536 23
267 854 2
868 983 1
28 476 67
760 114 35
258 265 17
470 160 33
514 735 78
298 790 16
794 28 38
957 202 31
638 369 81
518 873 14
149 620 75
988 378 98
282 622 64
221 328 27
451 405 44
530 84 57
157 258 53
176 721 32
710 436 96
640 558 4
745 812 4
912 160 41
214 79 78
417 285 3
552 64 6
887 314 8
93 115 33
628 86 93
201 450 68
509 357 49
411 828 56
883 757 38
374 385 92
307 676 78
33 575 97
118 17 27
528 129 91
418 126 27
721 411 20
1000 285 41
832 574 60
292 664 86
924 650 32
15 399 73
727 655 66
248 205 92
714 267 44
39 19 37
486 664 49
505 964 25
276 923 38
727 183 80
150 822 83
879 233 38
76 590 27
313 176 28
784 902 99
43 97 26
186 658 16
934 619 71
573 332 24
695 146 76
848 483 66
799 805 96
222 751 39
43 416 5
638 335 58
748 554 18
51 411 4
47 944 55
957 570 84
47 552 1
255 661 96
607 871 87
967 650 82
320 668 33
834 194 28
25 763 41
917 619 97
809 899 13
156 991 90
807 248 39
167 515 74
771 9 13
752 801 66
755 35 73
126 918 21
575 389 46
549 852 6
525 394 9
44 58 9
725 154 93
526 567 13
30 560 8
105 435 29
568 933 64
714 806 51
303 756 58
295 855 59
542 45 58
691 278 62
218 434 72
494 586 56
51 509 33
515 92 1
494 152 53
272 698 57
86 227 99
977 933 64
886 890 79
285 540 35
489 460 7
239 238 52
650 925 78
607 59 98
420 540 24
158 980 67
572 686 49
590 911 57
850 658 13
455 148 37
827 323 93
891 699 7
186 961 81
435 619 47
850 488 12
640 996 74
837 879 24
924 479 75
353 586 35
765 752 30
918 528 35
824 963 9
497 486 14
556 76 2
428 195 91
987 101 87
987 394 55
293 876 17
961 579 89
997 338 84
97 474 11
42 645 18
29 742 74
343 103 83
299 187 46
587 405 8
626 584 31
978 593 65
130 842 33
690 649 93
89 560 49
111 485 5
287 541 15
951 893 37
963 849 22
